Rules,Support,Confidence
"jika beli SPREI MY LOVE 180 30CM, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.03076923076923077,1.0
"jika beli MAINAN TARIK, maka beli BATU BATRAI DYNAMAX",0.03076923076923077,1.0
"jika beli BATU BATRAI DYNAMAX, maka beli MAINAN TARIK",0.03076923076923077,1.0
"jika beli CUTER TRANSPARAN, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.03076923076923077,0.3333333333333333
"jika beli AGAR-AGAR INACO 1 KG, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.03076923076923077,0.3333333333333333
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli CUTER TRANSPARAN",0.03076923076923077,0.14285714285714285
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli SPREI MY LOVE 180 30CM",0.03076923076923077,0.14285714285714285
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli AGAR-AGAR INACO 1 KG",0.03076923076923077,0.14285714285714285
"jika beli NAMPAN 4 SEDENG, maka beli LEMARI PLASTICO 4SSN",0.015384615384615385,1.0
"jika beli RAK SET GANTUNG 3IN1, maka beli LEMARI PLASTICO 4SSN",0.015384615384615385,1.0
"jika beli HANDUK KARAKTER ANAK, maka beli SELIMUT KARAKTER ANAK",0.015384615384615385,1.0
"jika beli CLUNNY SET, maka beli PISAU SET GSF",0.015384615384615385,1.0
"jika beli GAGANG SUPERMOP, maka beli PISAU SET GSF",0.015384615384615385,1.0
"jika beli DIPAN 160 MINIMALIS, maka beli TOPLES 16L",0.015384615384615385,1.0
"jika beli TOPLES 16L, maka beli DIPAN 160 MINIMALIS",0.015384615384615385,1.0
"jika beli DIPAN 160 MINIMALIS, maka beli MUKENA TERUSAN FATIMAH",0.015384615384615385,1.0
"jika beli MUKENA TERUSAN FATIMAH, maka beli DIPAN 160 MINIMALIS",0.015384615384615385,1.0
"jika beli TOPLES 16L, maka beli MUKENA TERUSAN FATIMAH",0.015384615384615385,1.0
"jika beli MUKENA TERUSAN FATIMAH, maka beli TOPLES 16L",0.015384615384615385,1.0
"jika beli BOX CONTAINER, maka beli RAK SEPATU PORTABLE GENEVA 5SN",0.015384615384615385,1.0
"jika beli BOX CONTAINER, maka beli STIKER MOMO",0.015384615384615385,1.0
"jika beli NAMPAN 4 SEDENG, maka beli STIKER MOMO",0.015384615384615385,1.0
"jika beli RAK SET GANTUNG 3IN1, maka beli STIKER MOMO",0.015384615384615385,1.0
"jika beli NAMPAN 4 SEDENG, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,1.0
"jika beli RAK SET GANTUNG 3IN1, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,1.0
"jika beli RANTANG JAGO STENLIS, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,1.0
"jika beli KOK, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,1.0
"jika beli NAMPAN 4 SEDENG, maka beli RAK SET GANTUNG 3IN1",0.015384615384615385,1.0
"jika beli RAK SET GANTUNG 3IN1, maka beli NAMPAN 4 SEDENG",0.015384615384615385,1.0
"jika beli TREMOS ELEPHANT, maka beli EMBER 23 REDHOUSE",0.015384615384615385,1.0
"jika beli EMBER 23 REDHOUSE, maka beli TREMOS ELEPHANT",0.015384615384615385,1.0
"jika beli TREMOS ELEPHANT, maka beli BOTOL ENJOYLIFE",0.015384615384615385,1.0
"jika beli BOTOL ENJOYLIFE, maka beli TREMOS ELEPHANT",0.015384615384615385,1.0
"jika beli TREMOS ELEPHANT, maka beli PEL PELAN NAGOYA",0.015384615384615385,1.0
"jika beli PEL PELAN NAGOYA, maka beli TREMOS ELEPHANT",0.015384615384615385,1.0
"jika beli EMBER 23 REDHOUSE, maka beli BOTOL ENJOYLIFE",0.015384615384615385,1.0
"jika beli BOTOL ENJOYLIFE, maka beli EMBER 23 REDHOUSE",0.015384615384615385,1.0
"jika beli EMBER 23 REDHOUSE, maka beli PEL PELAN NAGOYA",0.015384615384615385,1.0
"jika beli PEL PELAN NAGOYA, maka beli EMBER 23 REDHOUSE",0.015384615384615385,1.0
"jika beli BOTOL ENJOYLIFE, maka beli PEL PELAN NAGOYA",0.015384615384615385,1.0
"jika beli PEL PELAN NAGOYA, maka beli BOTOL ENJOYLIFE",0.015384615384615385,1.0
"jika beli POMPA GALON ELEKTRIK GSF, maka beli GELAS CANTEL POLOS JUMBO",0.015384615384615385,1.0
"jika beli GELAS CANTEL POLOS JUMBO, maka beli POMPA GALON ELEKTRIK GSF",0.015384615384615385,1.0
"jika beli POMPA GALON ELEKTRIK GSF, maka beli GELAS CANTEL JEMPOL",0.015384615384615385,1.0
"jika beli GELAS CANTEL JEMPOL, maka beli POMPA GALON ELEKTRIK GSF",0.015384615384615385,1.0
"jika beli GELAS CANTEL POLOS JUMBO, maka beli GELAS CANTEL JEMPOL",0.015384615384615385,1.0
"jika beli GELAS CANTEL JEMPOL, maka beli GELAS CANTEL POLOS JUMBO",0.015384615384615385,1.0
"jika beli SPRINGBED BIGDREAM 180, maka beli TEPUNG IRUT",0.015384615384615385,1.0
"jika beli KARPET METERAN, maka beli CUTER TRANSPARAN",0.015384615384615385,1.0
"jika beli MINYAK KITA 1L, maka beli CUTER TRANSPARAN",0.015384615384615385,1.0
"jika beli KARPET METERAN, maka beli LEMARI GMCC TIREX 3SSN",0.015384615384615385,1.0
"jika beli KOMPOR 2 TUNGKU HCM STENLIS, maka beli MAINAN TARIK",0.015384615384615385,1.0
"jika beli KOMPOR 2 TUNGKU HCM STENLIS, maka beli BATU BATRAI DYNAMAX",0.015384615384615385,1.0
"jika beli CLUNNY SET, maka beli GAGANG SUPERMOP",0.015384615384615385,1.0
"jika beli GAGANG SUPERMOP, maka beli CLUNNY SET",0.015384615384615385,1.0
"jika beli TIKAR ISTANA JUMBO, maka beli PIRING ROTAN PLASTIK",0.015384615384615385,1.0
"jika beli PIRING ROTAN PLASTIK, maka beli TIKAR ISTANA JUMBO",0.015384615384615385,1.0
"jika beli RANTANG JAGO STENLIS, maka beli SPREI MY LOVE 180 30CM",0.015384615384615385,1.0
"jika beli MINYAK KITA 1L, maka beli MAWAR LAUNDRY REFILL",0.015384615384615385,1.0
"jika beli KOK, maka beli AGAR-AGAR INACO 1 KG",0.015384615384615385,1.0
"jika beli MINYAK KITA 1L, maka beli MASKER DUCKBIL ANAK",0.015384615384615385,1.0
"jika beli KIPAS TANGAN GRADASI, maka beli KRUPUK KENTANG",0.015384615384615385,1.0
"jika beli KRUPUK KENTANG, maka beli KIPAS TANGAN GRADASI",0.015384615384615385,1.0
"jika beli KIPAS TANGAN GRADASI, maka beli TREMOS INDOGLASS 500ML",0.015384615384615385,1.0
"jika beli TREMOS INDOGLASS 500ML, maka beli KIPAS TANGAN GRADASI",0.015384615384615385,1.0
"jika beli KRUPUK KENTANG, maka beli TREMOS INDOGLASS 500ML",0.015384615384615385,1.0
"jika beli TREMOS INDOGLASS 500ML, maka beli KRUPUK KENTANG",0.015384615384615385,1.0
"jika beli TEETH WHITENING, maka beli RAK COSMIC 3SSN ABU",0.015384615384615385,1.0
"jika beli RAK COSMIC 3SSN ABU, maka beli TEETH WHITENING",0.015384615384615385,1.0
"jika beli LEMARI PLASTICO 4SSN, maka beli STIKER MOMO",0.015384615384615385,0.5
"jika beli STIKER MOMO, maka beli LEMARI PLASTICO 4SSN",0.015384615384615385,0.5
"jika beli LEMARI PLASTICO 4SSN, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,0.5
"jika beli LEMARI PLASTICO 4SSN, maka beli NAMPAN 4 SEDENG",0.015384615384615385,0.5
"jika beli LEMARI PLASTICO 4SSN, maka beli RAK SET GANTUNG 3IN1",0.015384615384615385,0.5
"jika beli SELIMUT KARAKTER ANAK, maka beli HANDUK KARAKTER ANAK",0.015384615384615385,0.5
"jika beli PISAU SET GSF, maka beli CLUNNY SET",0.015384615384615385,0.5
"jika beli PISAU SET GSF, maka beli GAGANG SUPERMOP",0.015384615384615385,0.5
"jika beli TEKO JINNIE AYAM JAGO PURIH DX, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,0.5
"jika beli RAK SEPATU PORTABLE GENEVA 5SN, maka beli BOX CONTAINER",0.015384615384615385,0.5
"jika beli STIKER MOMO, maka beli BOX CONTAINER",0.015384615384615385,0.5
"jika beli RAK SEPATU PORTABLE GENEVA 5SN, maka beli STIKER MOMO",0.015384615384615385,0.5
"jika beli STIKER MOMO, maka beli RAK SEPATU PORTABLE GENEVA 5SN",0.015384615384615385,0.5
"jika beli STIKER MOMO, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,0.5
"jika beli STIKER MOMO, maka beli NAMPAN 4 SEDENG",0.015384615384615385,0.5
"jika beli STIKER MOMO, maka beli RAK SET GANTUNG 3IN1",0.015384615384615385,0.5
"jika beli MAINAN TARIK, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,0.5
"jika beli BATU BATRAI DYNAMAX, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,0.5
"jika beli JAM DINDING ANGKA, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.015384615384615385,0.5
"jika beli TEPUNG IRUT, maka beli SPRINGBED BIGDREAM 180",0.015384615384615385,0.5
"jika beli LEMARI GMCC TIREX 3SSN, maka beli CUTER TRANSPARAN",0.015384615384615385,0.5
"jika beli MAWAR LAUNDRY REFILL, maka beli CUTER TRANSPARAN",0.015384615384615385,0.5
"jika beli JAM DINDING ANGKA, maka beli CUTER TRANSPARAN",0.015384615384615385,0.5
"jika beli MASKER DUCKBIL ANAK, maka beli CUTER TRANSPARAN",0.015384615384615385,0.5
"jika beli LEMARI GMCC TIREX 3SSN, maka beli KARPET METERAN",0.015384615384615385,0.5
"jika beli MAINAN TARIK, maka beli KOMPOR 2 TUNGKU HCM STENLIS",0.015384615384615385,0.5
"jika beli BATU BATRAI DYNAMAX, maka beli KOMPOR 2 TUNGKU HCM STENLIS",0.015384615384615385,0.5
"jika beli SPREI MY LOVE 180 30CM, maka beli RANTANG JAGO STENLIS",0.015384615384615385,0.5
"jika beli MAWAR LAUNDRY REFILL, maka beli MASKER DUCKBIL ANAK",0.015384615384615385,0.5
"jika beli MASKER DUCKBIL ANAK, maka beli MAWAR LAUNDRY REFILL",0.015384615384615385,0.5
"jika beli MAWAR LAUNDRY REFILL, maka beli MINYAK KITA 1L",0.015384615384615385,0.5
"jika beli JAM DINDING ANGKA, maka beli AGAR-AGAR INACO 1 KG",0.015384615384615385,0.5
"jika beli RAK PIRING EKONOMI BESAR, maka beli AGAR-AGAR INACO 1 KG",0.015384615384615385,0.5
"jika beli MASKER DUCKBIL ANAK, maka beli RAK PIRING EKONOMI BESAR",0.015384615384615385,0.5
"jika beli RAK PIRING EKONOMI BESAR, maka beli MASKER DUCKBIL ANAK",0.015384615384615385,0.5
"jika beli MASKER DUCKBIL ANAK, maka beli MINYAK KITA 1L",0.015384615384615385,0.5
"jika beli CUTER TRANSPARAN, maka beli KARPET METERAN",0.015384615384615385,0.16666666666666666
"jika beli CUTER TRANSPARAN, maka beli LEMARI GMCC TIREX 3SSN",0.015384615384615385,0.16666666666666666
"jika beli CUTER TRANSPARAN, maka beli MAWAR LAUNDRY REFILL",0.015384615384615385,0.16666666666666666
"jika beli CUTER TRANSPARAN, maka beli AGAR-AGAR INACO 1 KG",0.015384615384615385,0.16666666666666666
"jika beli AGAR-AGAR INACO 1 KG, maka beli CUTER TRANSPARAN",0.015384615384615385,0.16666666666666666
"jika beli CUTER TRANSPARAN, maka beli JAM DINDING ANGKA",0.015384615384615385,0.16666666666666666
"jika beli CUTER TRANSPARAN, maka beli MASKER DUCKBIL ANAK",0.015384615384615385,0.16666666666666666
"jika beli CUTER TRANSPARAN, maka beli MINYAK KITA 1L",0.015384615384615385,0.16666666666666666
"jika beli AGAR-AGAR INACO 1 KG, maka beli JAM DINDING ANGKA",0.015384615384615385,0.16666666666666666
"jika beli AGAR-AGAR INACO 1 KG, maka beli RAK PIRING EKONOMI BESAR",0.015384615384615385,0.16666666666666666
"jika beli AGAR-AGAR INACO 1 KG, maka beli KOK",0.015384615384615385,0.16666666666666666
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli LEMARI PLASTICO 4SSN",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli TEKO JINNIE AYAM JAGO PURIH DX",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli STIKER MOMO",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli NAMPAN 4 SEDENG",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli RAK SET GANTUNG 3IN1",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli MAINAN TARIK",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli BATU BATRAI DYNAMAX",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli RANTANG JAGO STENLIS",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli JAM DINDING ANGKA",0.015384615384615385,0.07142857142857142
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli KOK",0.015384615384615385,0.07142857142857142
